DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2025-09-10 15:12:06.269,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
10937904,0.3984,-0.8268,0.3842,0.1009,0.3665,-0.6337,-1.3807,0
10938070,0.4042,-0.8220,0.3826,0.1202,0.3971,-0.3596,-1.7847,0
10938237,0.4090,-0.8175,0.3808,0.1389,0.6247,-0.4079,-1.2810,0
10938404,0.4136,-0.8127,0.3790,0.1572,0.8540,0.0680,-1.1183,0
10938570,0.4187,-0.8075,0.3771,0.1742,1.1499,0.0626,-1.0944,0
10938737,0.4251,-0.8015,0.3756,0.1895,1.0169,0.3117,-0.9071,0
10938904,0.4320,-0.7950,0.3743,0.2031,0.7551,0.2709,-1.3192,0
10939070,0.4385,-0.7886,0.3733,0.2158,0.3820,0.1659,-1.2958,0
10939237,0.4438,-0.7825,0.3722,0.2284,-0.0719,0.2430,-1.2831,0
10939404,0.4482,-0.7770,0.3707,0.2406,0.3247,0.2088,-1.0015,0
10939570,0.4529,-0.7712,0.3696,0.2521,0.4185,0.5667,-0.8668,0
10939737,0.4583,-0.7651,0.3685,0.2622,0.0304,0.2338,-0.6658,0
10939904,0.4635,-0.7593,0.3673,0.2716,-0.0578,0.1334,-0.8798,0
10940070,0.4681,-0.7535,0.3663,0.2809,0.2180,-0.1362,-0.6502,0
10940237,0.4717,-0.7479,0.3653,0.2910,-0.0063,-0.3184,-0.4315,0
10940404,0.4744,-0.7423,0.3642,0.3022,0.3398,-0.5735,-0.0386,0
10940570,0.4776,-0.7359,0.3632,0.3137,0.8945,-0.5493,0.3738,0
10940737,0.4823,-0.7281,0.3627,0.3252,0.9372,-0.5734,0.6096,0
10940904,0.4885,-0.7189,0.3624,0.3364,0.2923,-0.4995,0.2521,0
10941070,0.4950,-0.7094,0.3622,0.3472,-0.6065,-0.2269,-0.4584,0
10941237,0.5005,-0.7007,0.3614,0.3576,-1.2851,0.0632,-1.1714,0
10941404,0.5052,-0.6933,0.3597,0.3671,-1.4284,0.8983,-2.0725,0
10941570,0.5103,-0.6867,0.3578,0.3743,-1.0675,1.5775,-2.5887,0
10941737,0.5143,-0.6820,0.3556,0.3794,-1.7727,1.6849,-3.1271,0
10941904,0.5162,-0.6798,0.3528,0.3835,-1.1864,1.4661,-2.9439,0
